"Nom";"Reference_SKU";"Prix_TTC";"Devise";"Disponibilite";"Categorie_Niveau1";"Categorie_Niveau2";"Categorie_Niveau3";"Categorie_Niveau4";"Categorie";"URL_Produit";"URL_Image";"Description_Courte";"Description_Longue"
"Power Bank Batterie Externe (10000 mAh) Magnétique 20W sans fil USB-C Usams CD242 CY Series Titanium";"22140";"22.8";"EUR";"Rupture / sur commande";"Accessoires";"USAMS";"Batterie Externe (Power Bank)";"";"Accessoires > USAMS > Batterie Externe (Power Bank)";"https://www.pieces2mobile.com/power-bank-batterie-externe-10000-mah-magnetique-20w-sans-fil-usb-c-usams-cd242-cy-series-titanium.html";"https://www.pieces2mobile.com/media/catalog/product/cache/08ce6ea9b7ea9e423fa7c2e2ae0fab3c/b/a/batterie-externe-10000-mah-charge-rapide-20w-sans-fil-usb-c-usams-cd242-cy-series-titanium-1.jpg";"Power Bank Batterie Externe (10000 mAh) Magnétique 20W sans fil USB-C Usams CD242 CY Series Titanium. ReparMonPhone, principal grossiste en pièces de rechange pour mobiles en Europe. Envois gratuits dès 35 euros. Comptes professionnels.";"CARACTÉRISTIQUESInclus : La batterie externeAvec : Charge RapideMarque : USAMSModèle : CD242 CY SeriesCouleur : GrisCapacité : 10000 mAhPuissance (sortie) : 20WPort d'entrée (recharge de la batterie) : 1 x USB Type-CPort(s) de sortie (recharge des appareils) : USB Type-CDimension : 14.3*66.1*102.7mmPoids : 190 g"
"Housse Grainé Mercury Samsung Galaxy Note 10.1 2014 (P600) Violet / Blue Jeans";"992";"2.4";"EUR";"En stock";"Samsung";"Galaxy Tab Note";"Note 10.1 2014 (P600/P605)";"";"Samsung > Galaxy Tab Note > Note 10.1 2014 (P600/P605)";"https://www.pieces2mobile.com/housse-graine-mercury-samsung-galaxy-note-10-1-2014-p600-violet-blue-jeans.html";"https://www.pieces2mobile.com/media/catalog/product/cache/08ce6ea9b7ea9e423fa7c2e2ae0fab3c/m/e/mercury-tab-grain-violet-bleu_1.jpg";"Housse Grainé Mercury Samsung Galaxy Note 10.1 2014 (P600) Violet / Blue Jeans. ReparMonPhone, principal grossiste en pièces de rechange pour mobiles en Europe. Envois gratuits dès 35 euros. Comptes professionnels.";"La photo est non contractuelle, la forme peut changer en fonction du modèle de smartphone (emplacement caméra, etc...), seule l'apparence demeure.CARACTÉRISTIQUESCompatible : Samsung Galaxy Note 10.1 2014 (P600)Inclus : La housse de protectionAvec : Attache dragonne, Ouverture Caméra, Ouverture Charge, Ouverture Écouteur, Ouverture Jack, Rabat magnétique, Rangement porte-cartes, Structure thermo-mouléeMarque : MercuryModèle : /Couleur externe : VioletCouleur interne : Blue JeansTexture : GrainéMatière : Extérieur Simili-cuir / Intérieur Silicone semi-rigideType : /"
"Housse Grainé Mercury Samsung Galaxy Note 10.1 2014 (P600) Rouge / Blue Jeans";"991";"3.6";"EUR";"Rupture / sur commande";"Samsung";"Galaxy Tab Note";"Note 10.1 2014 (P600/P605)";"";"Samsung > Galaxy Tab Note > Note 10.1 2014 (P600/P605)";"https://www.pieces2mobile.com/housse-graine-mercury-samsung-galaxy-note-10-1-2014-p600-rouge-blue-jeans.html";"https://www.pieces2mobile.com/media/catalog/product/cache/08ce6ea9b7ea9e423fa7c2e2ae0fab3c/m/e/mercury-tab-grain-rouge-bleu.jpg";"Housse Grainé Mercury Samsung Galaxy Note 10.1 2014 (P600) Rouge / Blue Jeans. ReparMonPhone, principal grossiste en pièces détachées pour mobiles en Europe. Envois gratuits dès 35 euros. Comptes professionnels.";"La photo est non contractuelle, la forme peut changer en fonction du modèle de smartphone (emplacement caméra, etc...), seule l'apparence demeure.CARACTÉRISTIQUESCompatible : Samsung Galaxy Note 10.1 2014 (P600)Inclus : La housse de protectionAvec : Attache dragonne, Ouverture Caméra, Ouverture Charge, Ouverture Écouteur, Ouverture Jack, Rabat magnétique, Rangement porte-cartes, Structure thermo-mouléeMarque : MercuryModèle : /Couleur externe : RougeCouleur interne : Blue JeansTexture : GrainéMatière : Extérieur Simili-cuir / Intérieur Silicone semi-rigideType : /"
"Housse Flip Samsung Galaxy S Duos (S7562) Noir ";"1021";"3.6";"EUR";"En stock";"Samsung";"Galaxy S";"S Duos (S7562)";"";"Samsung > Galaxy S > S Duos (S7562)";"https://www.pieces2mobile.com/housse-flip-samsung-galaxy-s-duos-s7562-noir.html";"https://www.pieces2mobile.com/media/catalog/product/cache/08ce6ea9b7ea9e423fa7c2e2ae0fab3c/f/l/flip-noir-1_13.jpg";"Housse Flip Samsung Galaxy S Duos (S7562) Noir . ReparMonPhone, principal grossiste en pièces détachées pour mobiles en Europe. Envois gratuits dès 35 euros. Comptes professionnels.";"La photo est non contractuelle, la forme peut changer en fonction du modèle de smartphone (emplacement caméra, etc...), seule l'apparence demeure.CARACTÉRISTIQUESCompatible : Samsung Galaxy S Duos (S7562)Inclus : La housse de protectionAvec : Ouverture Caméra, Ouverture Écouteur, Rabat, Rangement porte-cartes, Structure thermo-mouléeMarque : NintendoModèle : /Couleur externe : NoirCouleur interne : NoirTexture : LisseMatière : Simili-cuirType : /"
"Coque à rabat (EF-DT800BWEGWW) Samsung Galaxy Tab S 10.5 (T800) Blanc";"1567";"2.4";"EUR";"En stock";"Samsung";"Galaxy Tab S";"Tab S 10.5 (T800/T805)";"";"Samsung > Galaxy Tab S > Tab S 10.5 (T800/T805)";"https://www.pieces2mobile.com/coque-a-rabat-ef-dt800bwegww-samsung-galaxy-tab-s-10-5-t800-blanc.html";"https://www.pieces2mobile.com/media/catalog/product/cache/08ce6ea9b7ea9e423fa7c2e2ae0fab3c/s/i/simple_cover_samsung_galaxy_tab_s_10.5_t800_blanc.jpg";"Coque à rabat (EF-DT800BWEGWW) Samsung Galaxy Tab S 10.5 (T800) Blanc. ReparMonPhone, principal grossiste en pièces de rechange pour mobiles en Europe. Envois gratuits dès 35 euros. Comptes professionnels.";"CARACTÉRISTIQUESCompatible : Samsung Galaxy Tab S 10.5 (T800)Inclus : La coque à rabat de protectionAvec : Position horizontaleMarque : SamsungModèle : EF-DT800BWEGWW (Simple Cover)Couleur externe : BlancCouleur interne : BlancTexture : LisseMatière : CuirType : /"
"Coque X-Line Samsung Galaxy Tab 3 Lite 7.0 (T110/T111/T113) Noir";"1029";"2.4";"EUR";"En stock";"Samsung";"Galaxy Tab";"Tab 3 Lite 7.0 (T110/T111/T113)";"";"Samsung > Galaxy Tab > Tab 3 Lite 7.0 (T110/T111/T113)";"https://www.pieces2mobile.com/coque-x-line-samsung-galaxy-tab-3-lite-7-0-t110-t111-t113-noir.html";"https://www.pieces2mobile.com/media/catalog/product/cache/08ce6ea9b7ea9e423fa7c2e2ae0fab3c/x/-/x-line-tab-black.jpg";"Coque X-Line Samsung Galaxy Tab 3 Lite 7.0 (T110/T111/T113) Noir. ReparMonPhone, principal grossiste en pièces détachées pour mobiles en Europe. Envois gratuits dès 35 euros. Comptes professionnels.";"La photo est non contractuelle, la forme peut changer en fonction du modèle de smartphone (emplacement caméra, etc...), seule l'apparence demeure.CARACTÉRISTIQUESCompatible : Samsung Galaxy Tab 3 Lite 7.0 (T110/T111/T113)Inclus : La coque de protectionAvec : Ouverture Caméra, Ouverture Charge, Ouverture Haut-parleur, Ouverture Jack, Protection Boutons, Structure thermo-mouléeMarque : X-LineModèle : /Couleur externe : NoirCouleur interne : NoirTexture : Lisse / GrainéMatière : Silicone semi-rigideType : TPU (polyuréthanes thermoplastiques)"
"Écouteurs Samsung Galaxy EO-EG900BW S5 Blanc Origine";"3140";"12";"EUR";"Rupture / sur commande";"Samsung";"Galaxy S";"S5 (G900F)";"";"Samsung > Galaxy S > S5 (G900F)";"https://www.pieces2mobile.com/ecouteurs-eo-eg900bw-samsung-galaxy-s5-blanc-origine.html";"https://www.pieces2mobile.com/media/catalog/product/cache/08ce6ea9b7ea9e423fa7c2e2ae0fab3c/e/c/ecouteurs_s5_eo-eg900bw_samsung_origine_blanc.jpg";"Écouteurs Samsung Galaxy EO-EG900BW S5 Blanc Origine. ReparMonPhone, principal grossiste en pièces de rechange pour mobiles en Europe. Envois gratuits dès 35 euros. Comptes professionnels.";"  Samsung  Ce produit de la marque Samsung est tout ce dont vous avez besoin pour écouter de la musique ou toute autre chose sur un téléphone ou un ordinateur sans avoir à gêner les personnes qui sont à côté de vous. Vous pouvez également l’utiliser pour mieux entendre lorsque vous vous retrouvez dans des environnements bruyants afin de couvrir le bruit environnant. Il dispose d’un câble d’une longueur de  qui vous offre une certaine mobilité.  Puissance sonore  Ce modèle  de la marque Samsung dispose d’une puissance de , d’une réponse en fréquence de  et d’une sensibilité de .  Consommation  Ce produit dispose d’une impédance de . On recommande en général un maximum de 64 Ohms pour les appareils mobiles pour ne pas les décharger trop vite et nuire trop significativement à leur autonomie.  Dimensions  Le diamètre des écouteurs est de .  Compatibilité  Le modèle  de la marque Samsung est compatible avec les appareils suivants : .  Caractéristiques   Prise audio :  Réponse en fréquence :  Sensibilité :  Impédance :  Puissance d’entrée maximale :  Longueur du câble :  Couleur :    Inclus : .  Remarque : ce produit est livré ."
"Coque S-Line HTC One (M9) Noir";"5752";"1.2";"EUR";"En stock";"HTC";"Gamme One";"One (M9)";"";"HTC > Gamme One > One (M9)";"https://www.pieces2mobile.com/coque-s-line-htc-one-m9-noir.html";"https://www.pieces2mobile.com/media/catalog/product/cache/08ce6ea9b7ea9e423fa7c2e2ae0fab3c/s/-/s-line_3.jpg";"Coque S-Line HTC One (M9) Noir. ReparMonPhone, principal grossiste en pièces de rechange pour mobiles en Europe. Envois gratuits dès 35 euros. Comptes professionnels.";"La photo est non contractuelle, la forme peut changer en fonction du modèle de smartphone (emplacement caméra, etc...), seule l'apparence demeure.CARACTÉRISTIQUESCompatible : HTC One (M9)Inclus : La coque de protectionAvec : Ouverture Caméra, Ouverture Charge, Ouverture Haut-parleur, Ouverture Jack, Protection Boutons, Structure thermo-mouléeMarque : S-LineModèle : /Couleur externe : NoirCouleur interne : NoirTexture : Lisse / GrainéMatière : Silicone semi-rigideType : TPU (polyuréthanes thermoplastiques)"
"Coque S-Line Sony Xperia Z (C6603) Noir";"5778";"1.2";"EUR";"En stock";"Sony";"Gamme Z";"Z (C6603)";"";"Sony > Gamme Z > Z (C6603)";"https://www.pieces2mobile.com/coque-s-line-sony-xperia-z-c6603-noir.html";"https://www.pieces2mobile.com/media/catalog/product/cache/08ce6ea9b7ea9e423fa7c2e2ae0fab3c/s/-/s-line-black_13.jpg";"Coque S-Line Sony Xperia Z (C6603) Noir. ReparMonPhone, principal grossiste en pièces de rechange pour mobiles en Europe. Envois gratuits dès 35 euros. Comptes professionnels.";"La photo est non contractuelle, la forme peut changer en fonction du modèle de smartphone (emplacement caméra, etc...), seule l'apparence demeure.CARACTÉRISTIQUESCompatible : Sony Xperia Z (C6603)Inclus : La coque de protectionAvec : Ouverture Caméra, Ouverture Charge, Ouverture Haut-parleur, Ouverture Jack, Protection Boutons, Structure thermo-mouléeMarque : S-LineModèle : /Couleur externe : NoirCouleur interne : NoirTexture : Lisse / GrainéMatière : Silicone semi-rigideType : TPU (polyuréthanes thermoplastiques)"
"Coque silicone BlackBerry Bold 9700 Noir ";"5771";"1.2";"EUR";"En stock";"BlackBerry";"Gamme Bold";"Bold 9700/9780";"";"BlackBerry > Gamme Bold > Bold 9700/9780";"https://www.pieces2mobile.com/coque-s-line-blackberry-bold-9700-noir.html";"https://www.pieces2mobile.com/media/catalog/product/cache/08ce6ea9b7ea9e423fa7c2e2ae0fab3c/s/-/s-line-black_6.jpg";"Coque silicone BlackBerry Bold 9700 Noir . ReparMonPhone, principal grossiste en pièces détachées pour mobiles en Europe. Envois gratuits dès 35 euros. Comptes professionnels.";"La photo est non contractuelle, la forme peut changer en fonction du modèle de smartphone (emplacement caméra, etc...), seule l'apparence demeure.CARACTÉRISTIQUESCompatible : BlackBerry Bold 9700Inclus : La coque de protectionAvec : Ouverture Caméra, Ouverture Charge, Ouverture Haut-parleur, Ouverture Jack, Protection Boutons, Structure thermo-mouléeMarque : Modèle : /Couleur externe : NoirCouleur interne : NoirTexture : Lisse / GrainéMatière : SiliconeType : TPU (polyuréthanes thermoplastiques)"
"Coque S-Line Sony Xperia M2 (D2303) Noir";"5783";"1.2";"EUR";"En stock";"Sony";"Gamme M";"M2 (D2303)";"";"Sony > Gamme M > M2 (D2303)";"https://www.pieces2mobile.com/coque-s-line-sony-xperia-m2-d2303-noir.html";"https://www.pieces2mobile.com/media/catalog/product/cache/08ce6ea9b7ea9e423fa7c2e2ae0fab3c/s/-/s-line-black_18.jpg";"Coque S-Line Sony Xperia M2 (D2303) Noir. ReparMonPhone, principal grossiste en pièces de rechange pour mobiles en Europe. Envois gratuits dès 35 euros. Comptes professionnels.";"La photo est non contractuelle, la forme peut changer en fonction du modèle de smartphone (emplacement caméra, etc...), seule l'apparence demeure.CARACTÉRISTIQUESCompatible : Sony Xperia M2 (D2303)Inclus : La coque de protectionAvec : Ouverture Caméra, Ouverture Charge, Ouverture Haut-parleur, Ouverture Jack, Protection Boutons, Structure thermo-mouléeMarque : S-LineModèle : /Couleur externe : NoirCouleur interne : NoirTexture : Lisse / GrainéMatière : Silicone semi-rigideType : TPU (polyuréthanes thermoplastiques)"
"Coque S-Line Sony Xperia E1 (D2005) Noir";"5780";"1.2";"EUR";"En stock";"Sony";"Gamme E";"E1 (D2005)";"";"Sony > Gamme E > E1 (D2005)";"https://www.pieces2mobile.com/coque-s-line-sony-xperia-e1-d2005-noir.html";"https://www.pieces2mobile.com/media/catalog/product/cache/08ce6ea9b7ea9e423fa7c2e2ae0fab3c/s/-/s-line-black_15.jpg";"Coque S-Line Sony Xperia E1 (D2005) Noir. ReparMonPhone, principal grossiste en pièces détachées pour mobiles en Europe. Envois gratuits dès 35 euros. Comptes professionnels.";"La photo est non contractuelle, la forme peut changer en fonction du modèle de smartphone (emplacement caméra, etc...), seule l'apparence demeure.CARACTÉRISTIQUESCompatible : Sony Xperia E1 (D2005)Inclus : La coque de protectionAvec : Ouverture Caméra, Ouverture Charge, Ouverture Haut-parleur, Ouverture Jack, Protection Boutons, Structure thermo-mouléeMarque : S-LineModèle : /Couleur externe : NoirCouleur interne : NoirTexture : Lisse / GrainéMatière : Silicone semi-rigideType : TPU (polyuréthanes thermoplastiques)"
"Coque S-Line Samsung Galaxy Note 4 (N910F) Noir";"5794";"1.2";"EUR";"En stock";"Samsung";"Galaxy Note";"Note 4 (N910F)";"";"Samsung > Galaxy Note > Note 4 (N910F)";"https://www.pieces2mobile.com/coque-s-line-samsung-galaxy-note-4-n910f-noir.html";"https://www.pieces2mobile.com/media/catalog/product/cache/08ce6ea9b7ea9e423fa7c2e2ae0fab3c/s/l/sline_note_4_5e.jpg";"Coque S-Line Samsung Galaxy Note 4 (N910F) Noir. ReparMonPhone, principal grossiste en pièces détachées pour mobiles en Europe. Envois gratuits dès 35 euros. Comptes professionnels.";"La photo est non contractuelle, la forme peut changer en fonction du modèle de smartphone (emplacement caméra, etc...), seule l'apparence demeure.CARACTÉRISTIQUESCompatible : Samsung Galaxy Note 4 (N910F)Inclus : La coque de protectionAvec : Ouverture Caméra, Ouverture Charge, Ouverture Haut-parleur, Ouverture Jack, Protection Boutons, Structure thermo-mouléeMarque : S-LineModèle : /Couleur externe : NoirCouleur interne : NoirTexture : Lisse / GrainéMatière : Silicone semi-rigideType : TPU (polyuréthanes thermoplastiques)"
"Coque S-Line Samsung Galaxy S5 (G900F) Noir";"5800";"1.2";"EUR";"En stock";"Samsung";"Galaxy S";"S5 (G900F)";"";"Samsung > Galaxy S > S5 (G900F)";"https://www.pieces2mobile.com/coque-s-line-samsung-galaxy-s5-g900f-noir.html";"https://www.pieces2mobile.com/media/catalog/product/cache/08ce6ea9b7ea9e423fa7c2e2ae0fab3c/s/l/sline_s5_5e.jpg";"Coque S-Line Samsung Galaxy S5 (G900F) Noir. ReparMonPhone, principal grossiste en pièces de rechange pour mobiles en Europe. Envois gratuits dès 35 euros. Comptes professionnels.";"La photo est non contractuelle, la forme peut changer en fonction du modèle de smartphone (emplacement caméra, etc...), seule l'apparence demeure.CARACTÉRISTIQUESCompatible : Samsung Galaxy S5 (G900F)Inclus : La coque de protectionAvec : Ouverture Caméra, Ouverture Charge, Ouverture Haut-parleur, Ouverture Jack, Protection Boutons, Structure thermo-mouléeMarque : S-LineModèle : /Couleur externe : NoirCouleur interne : NoirTexture : Lisse / GrainéMatière : Silicone semi-rigideType : TPU (polyuréthanes thermoplastiques)"
"Coque S-Line HTC Desire HD (G10) Noir";"5802";"1.2";"EUR";"En stock";"HTC";"Desire";"Desire HD (G10)";"";"HTC > Desire > Desire HD (G10)";"https://www.pieces2mobile.com/coque-s-line-htc-desire-hd-g10-noir.html";"https://www.pieces2mobile.com/media/catalog/product/cache/08ce6ea9b7ea9e423fa7c2e2ae0fab3c/s/-/s-line-black_36.jpg";"Coque S-Line HTC Desire HD (G10) Noir. ReparMonPhone, principal grossiste en pièces détachées pour mobiles en Europe. Envois gratuits dès 35 euros. Comptes professionnels.";"La photo est non contractuelle, la forme peut changer en fonction du modèle de smartphone (emplacement caméra, etc...), seule l'apparence demeure.CARACTÉRISTIQUESCompatible : HTC Desire HD (G10)Inclus : La coque de protectionAvec : Ouverture Caméra, Ouverture Charge, Ouverture Haut-parleur, Ouverture Jack, Protection Boutons, Structure thermo-mouléeMarque : S-LineModèle : /Couleur externe : NoirCouleur interne : NoirTexture : Lisse / GrainéMatière : Silicone semi-rigideType : TPU (polyuréthanes thermoplastiques)"
"Verre trempé HTC One (M7)";"5809";"1.2";"EUR";"En stock";"HTC";"Gamme One";"One (M7)";"";"HTC > Gamme One > One (M7)";"https://www.pieces2mobile.com/verre-trempe-htc-one-m7.html";"https://www.pieces2mobile.com/media/catalog/product/cache/08ce6ea9b7ea9e423fa7c2e2ae0fab3c/t/e/tempered-glass_74.jpg";"Verre trempé HTC One (M7). ReparMonPhone, principal grossiste en pièces détachées pour mobiles en Europe. Envois gratuits dès 35 euros. Comptes professionnels.";"La photo est non contractuelle, la forme peut changer en fonction du modèle de smartphone (emplacement caméra, etc...), seule l'apparence demeure.CARACTÉRISTIQUESCompatible : HTC One (M7)Inclus : Le verre trempé de protectionAvec : Technologie 2.5D (Polissage des angles et côtés du verre)Intégrale : NonConfidentiel : NonCouleur : TransparentÉpaisseur : 0.3 mm"
"Verre trempé HTC One (M8)";"5810";"1.2";"EUR";"En stock";"HTC";"Gamme One";"One (M8)";"";"HTC > Gamme One > One (M8)";"https://www.pieces2mobile.com/verre-trempe-htc-one-m8.html";"https://www.pieces2mobile.com/media/catalog/product/cache/08ce6ea9b7ea9e423fa7c2e2ae0fab3c/t/e/tempered-glass_73.jpg";"Verre trempé HTC One (M8). ReparMonPhone, principal grossiste en pièces détachées pour mobiles en Europe. Envois gratuits dès 35 euros. Comptes professionnels.";"La photo est non contractuelle, la forme peut changer en fonction du modèle de smartphone (emplacement caméra, etc...), seule l'apparence demeure.CARACTÉRISTIQUESCompatible : HTC One (M8)Inclus : Le verre trempé de protectionAvec : Technologie 2.5D (Polissage des angles et côtés du verre)Intégrale : NonConfidentiel : NonCouleur : TransparentÉpaisseur : 0.3 mm"
"Verre trempé LG Google Nexus 5 (D820)";"5813";"1.2";"EUR";"En stock";"LG";"Google Nexus";"Google Nexus 5 (D820)";"";"LG > Google Nexus > Google Nexus 5 (D820)";"https://www.pieces2mobile.com/verre-trempe-lg-google-nexus-5-d820.html";"https://www.pieces2mobile.com/media/catalog/product/cache/08ce6ea9b7ea9e423fa7c2e2ae0fab3c/t/e/tempered-glass_71.jpg";"Verre trempé LG Google Nexus 5 (D820). ReparMonPhone, principal grossiste en pièces de rechange pour mobiles en Europe. Envois gratuits dès 35 euros. Comptes professionnels.";"La photo est non contractuelle, la forme peut changer en fonction du modèle de smartphone (emplacement caméra, etc...), seule l'apparence demeure.CARACTÉRISTIQUESCompatible : LG Google Nexus 5 (D820)Inclus : Le verre trempé de protectionAvec : Technologie 2.5D (Polissage des angles et côtés du verre)Intégrale : NonConfidentiel : NonCouleur : TransparentÉpaisseur : 0.3 mm"
"Verre trempé LG G2 (D802)";"5812";"1.2";"EUR";"En stock";"LG";"Gamme G";"G2 (D802)";"";"LG > Gamme G > G2 (D802)";"https://www.pieces2mobile.com/verre-trempe-lg-g2-d802.html";"https://www.pieces2mobile.com/media/catalog/product/cache/08ce6ea9b7ea9e423fa7c2e2ae0fab3c/t/e/tempered-glass_72.jpg";"Verre trempé LG G2 (D802). ReparMonPhone, principal grossiste en pièces détachées pour mobiles en Europe. Envois gratuits dès 35 euros. Comptes professionnels.";"La photo est non contractuelle, la forme peut changer en fonction du modèle de smartphone (emplacement caméra, etc...), seule l'apparence demeure.CARACTÉRISTIQUESCompatible : LG G2 (D802)Inclus : Le verre trempé de protectionAvec : Technologie 2.5D (Polissage des angles et côtés du verre)Intégrale : NonConfidentiel : NonCouleur : TransparentÉpaisseur : 0.3 mm"
"Verre trempé LG G3 (D855)";"5814";"1.2";"EUR";"En stock";"LG";"Gamme G";"G3 (D855)";"";"LG > Gamme G > G3 (D855)";"https://www.pieces2mobile.com/verre-trempe-lg-g3-d855.html";"https://www.pieces2mobile.com/media/catalog/product/cache/08ce6ea9b7ea9e423fa7c2e2ae0fab3c/t/e/tempered-glass_70.jpg";"Verre trempé LG G3 (D855). ReparMonPhone, principal grossiste en pièces de rechange pour mobiles en Europe. Envois gratuits dès 35 euros. Comptes professionnels.";"La photo est non contractuelle, la forme peut changer en fonction du modèle de smartphone (emplacement caméra, etc...), seule l'apparence demeure.CARACTÉRISTIQUESCompatible : LG G3 (D855)Inclus : Le verre trempé de protectionAvec : Technologie 2.5D (Polissage des angles et côtés du verre)Intégrale : NonConfidentiel : NonCouleur : TransparentÉpaisseur : 0.3 mm"
"Verre trempé Sony Xperia Z2 (D6503)";"5816";"1.2";"EUR";"En stock";"Sony";"Gamme Z";"Z2 (D6503)";"";"Sony > Gamme Z > Z2 (D6503)";"https://www.pieces2mobile.com/verre-trempe-sony-xperia-z2-d6503.html";"https://www.pieces2mobile.com/media/catalog/product/cache/08ce6ea9b7ea9e423fa7c2e2ae0fab3c/t/e/tempered-glass_68.jpg";"Verre trempé Sony Xperia Z2 (D6503). ReparMonPhone, principal grossiste en pièces de rechange pour mobiles en Europe. Envois gratuits dès 35 euros. Comptes professionnels.";"La photo est non contractuelle, la forme peut changer en fonction du modèle de smartphone (emplacement caméra, etc...), seule l'apparence demeure.CARACTÉRISTIQUESCompatible : Sony Xperia Z2 (D6503)Inclus : Le verre trempé de protectionAvec : Technologie 2.5D (Polissage des angles et côtés du verre)Intégrale : NonConfidentiel : NonCouleur : TransparentÉpaisseur : 0.3 mm"
"Verre trempé Sony Xperia Z1 (C6903)";"5815";"1.2";"EUR";"En stock";"Sony";"Gamme Z";"Z1 (C6903)";"";"Sony > Gamme Z > Z1 (C6903)";"https://www.pieces2mobile.com/verre-trempe-sony-xperia-z1-c6903.html";"https://www.pieces2mobile.com/media/catalog/product/cache/08ce6ea9b7ea9e423fa7c2e2ae0fab3c/t/e/tempered-glass_69.jpg";"Verre trempé Sony Xperia Z1 (C6903). ReparMonPhone, principal grossiste en pièces détachées pour mobiles en Europe. Envois gratuits dès 35 euros. Comptes professionnels.";"La photo est non contractuelle, la forme peut changer en fonction du modèle de smartphone (emplacement caméra, etc...), seule l'apparence demeure.CARACTÉRISTIQUESCompatible : Sony Xperia Z1 (C6903)Inclus : Le verre trempé de protectionAvec : Technologie 2.5D (Polissage des angles et côtés du verre)Intégrale : NonConfidentiel : NonCouleur : TransparentÉpaisseur : 0.3 mm"
"Verre trempé Sony Xperia Z (C6603)";"5818";"1.2";"EUR";"En stock";"Sony";"Gamme Z";"Z (C6603)";"";"Sony > Gamme Z > Z (C6603)";"https://www.pieces2mobile.com/verre-trempe-sony-xperia-z-c6603.html";"https://www.pieces2mobile.com/media/catalog/product/cache/08ce6ea9b7ea9e423fa7c2e2ae0fab3c/t/e/tempered-glass_66.jpg";"Verre trempé Sony Xperia Z (C6603). ReparMonPhone, principal grossiste en pièces de rechange pour mobiles en Europe. Envois gratuits dès 35 euros. Comptes professionnels.";"La photo est non contractuelle, la forme peut changer en fonction du modèle de smartphone (emplacement caméra, etc...), seule l'apparence demeure.CARACTÉRISTIQUESCompatible : Sony Xperia Z (C6603)Inclus : Le verre trempé de protectionAvec : Technologie 2.5D (Polissage des angles et côtés du verre)Intégrale : NonConfidentiel : NonCouleur : TransparentÉpaisseur : 0.3 mm"
"Verre trempé Sony Xperia Z3 (D6603)";"5817";"1.2";"EUR";"En stock";"Sony";"Gamme Z";"Z3 (D6603)";"";"Sony > Gamme Z > Z3 (D6603)";"https://www.pieces2mobile.com/verre-trempe-sony-xperia-z3-d6603.html";"https://www.pieces2mobile.com/media/catalog/product/cache/08ce6ea9b7ea9e423fa7c2e2ae0fab3c/t/e/tempered-glass_67.jpg";"Verre trempé Sony Xperia Z3 (D6603). ReparMonPhone, principal grossiste en pièces détachées pour mobiles en Europe. Envois gratuits dès 35 euros. Comptes professionnels.";"La photo est non contractuelle, la forme peut changer en fonction du modèle de smartphone (emplacement caméra, etc...), seule l'apparence demeure.CARACTÉRISTIQUESCompatible : Sony Xperia Z3 (D6603)Inclus : Le verre trempé de protectionAvec : Technologie 2.5D (Polissage des angles et côtés du verre)Intégrale : NonConfidentiel : NonCouleur : TransparentÉpaisseur : 0.3 mm"
"Verre trempé iPhone 4 / 4S";"5819";"1.2";"EUR";"Rupture / sur commande";"Apple";"iPhone";"iPhone 4S (A1431 / A1387 / A1387)";"";"Apple > iPhone > iPhone 4S (A1431 / A1387 / A1387)";"https://www.pieces2mobile.com/verre-trempe-iphone-4-4s.html";"https://www.pieces2mobile.com/media/catalog/product/cache/08ce6ea9b7ea9e423fa7c2e2ae0fab3c/t/e/tempered-glass_65.jpg";"Verre trempé iPhone 4 / 4S. ReparMonPhone, principal grossiste en pièces détachées pour mobiles en Europe. Envois gratuits dès 35 euros. Comptes professionnels.";"La photo est non contractuelle, la forme peut changer en fonction du modèle de smartphone (emplacement caméra, etc...), seule l'apparence demeure.CARACTÉRISTIQUESCompatible : Apple iPhone 4 / 4SInclus : Le verre trempé de protectionAvec : Technologie 2.5D (Polissage des angles et côtés du verre)Intégrale : NonConfidentiel : NonCouleur : TransparentÉpaisseur : 0.3 mm"
"Verre trempé iPhone 6 Plus / 6S Plus / 7 Plus / 8 Plus";"5822";"15";"EUR";"Rupture / sur commande";"Apple";"iPhone";"iPhone 6 Plus (A1522 / A1524 / A1593)";"";"Apple > iPhone > iPhone 6 Plus (A1522 / A1524 / A1593)";"https://www.pieces2mobile.com/verre-trempe-iphone-6-plus-6s-plus-7-plus-8-plus.html";"https://www.pieces2mobile.com/media/catalog/product/cache/08ce6ea9b7ea9e423fa7c2e2ae0fab3c/t/e/tempered-glass_61.jpg";"Verre trempé iPhone 6 Plus / 6S Plus / 7 Plus / 8 Plus. ReparMonPhone, principal grossiste en pièces de rechange pour mobiles en Europe. Envois gratuits dès 35 euros. Comptes professionnels.";"La photo est non contractuelle, la forme peut changer en fonction du modèle de smartphone (emplacement caméra, etc...), seule l'apparence demeure.CARACTÉRISTIQUESCompatible : Apple iPhone 6 Plus / 6S Plus / 7 Plus / 8 PlusInclus : Le verre trempé de protectionAvec : Technologie 2.5D (Polissage des angles et côtés du verre)Intégrale : NonConfidentiel : NonCouleur : TransparentÉpaisseur : 0.3 mm"
